experiment,sample_id,sample_path,prediction_path,mse,mae,correlation,iou,dice,true_occupied_cells,predicted_occupied_cells,volume_ratio,true_mass_proxy,predicted_mass_proxy,mass_ratio,true_body_mean_density,predicted_mean_density_in_true_body,peak_predicted_density,true_top_depth_m,true_bottom_depth_m,true_thickness_m,true_width_x_m,true_width_y_m,true_center_x_m,true_center_y_m,gravity_mse,gravity_rmse,gravity_mae,gravity_relative_l2,gravity_correlation,gravity_max_abs_residual,gravity_mean_residual,gravity_residual_std,manifest_top_depth_m,manifest_thickness_m,predicted_top_depth_m,top_depth_error_m,absolute_top_depth_error_m,predicted_bottom_depth_m,bottom_depth_error_m,absolute_bottom_depth_error_m,predicted_thickness_m,thickness_error_m,absolute_thickness_error_m,predicted_width_x_m,width_x_error_m,absolute_width_x_error_m,predicted_width_y_m,width_y_error_m,absolute_width_y_error_m,predicted_center_x_m,predicted_center_y_m,lateral_center_error_m
E06,sample_000363,samples/sample_000363.npz,sample_000363_prediction.npz,0.0005185394547879696,0.002308746101334691,0.28494979915427215,0.04499437570303712,0.0861141011840689,40,889,22.225,32.65535354614258,218.2062697584041,6.682097912370628,0.8163838386535645,0.29878297708928586,0.33134081959724426,80.0,100.0,20.0,40.0,50.0,260.0,325.0,0.0004702683078791571,0.021685670565586786,0.00973141181231267,5.869021282307155,0.9836480014907786,0.1295964820776519,0.00973141181231267,0.01937957512481475,80.0,20.0,40.0,-40.0,40.0,140.0,40.0,40.0,100.0,80.0,80.0,150.0,110.0,110.0,130.0,80.0,80.0,265.0,315.0,11.180339887498949
E06,sample_000263,samples/sample_000263.npz,sample_000263_prediction.npz,0.0012756919022649527,0.004313644487410784,0.4686513092028896,0.12154340836012861,0.21674311926605505,189,1555,8.227513227513228,76.96506553888321,496.94532996893406,6.4567648515529985,0.40722256898880005,0.4335243555288466,0.5461039543151855,30.0,60.0,30.0,70.0,90.0,225.0,195.0,0.003753934719152013,0.061269361994001646,0.023106572410293787,3.9773026697711042,0.9265858763158865,0.3781385258750382,0.023106572410293787,0.05674522914395415,30.0,30.0,0.0,-30.0,30.0,100.0,40.0,40.0,100.0,70.0,70.0,200.0,130.0,130.0,290.0,200.0,200.0,220.0,145.0,50.24937810560445
E06,sample_000442,samples/sample_000442.npz,sample_000442_prediction.npz,0.002190222032368183,0.006150597240775824,0.3283748337966634,0.05919180421172453,0.11176786673831274,104,1757,16.89423076923077,94.6843991279602,609.6346714410082,6.43859682329635,0.910426914691925,0.479282512401159,0.5981395840644836,30.0,50.0,20.0,130.0,40.0,385.0,210.0,0.005472738930668277,0.07397796246632019,0.02860808077295447,3.7122572723773,0.8917734275076039,0.4482140551427042,0.02860808077295447,0.06822255232074209,30.0,20.0,0.0,-30.0,30.0,100.0,50.0,50.0,100.0,80.0,80.0,200.0,70.0,70.0,140.0,100.0,100.0,370.0,230.0,25.0
E06,sample_001230,samples/sample_001230.npz,sample_001230_prediction.npz,0.004173279274255037,0.01014589425176382,0.5554235775474913,0.23505843071786311,0.3806434171397675,704,2995,4.254261363636363,288.421838760376,1276.4231777767702,4.425542751071761,0.40969011187553406,0.5111202588304877,0.6810017824172974,20.0,60.0,40.0,110.0,160.0,475.0,420.0,0.01595035160695052,0.12629470142072674,0.05419450606639713,2.410371472933396,0.8681542240025028,0.6517997257660831,0.05419450606639713,0.1140758831619101,20.0,40.0,0.0,-20.0,20.0,100.0,40.0,40.0,100.0,60.0,60.0,180.0,70.0,70.0,230.0,70.0,70.0,450.0,395.0,35.35533905932738
E06,sample_001272,samples/sample_001272.npz,sample_001272_prediction.npz,0.0068808202631771564,0.013485291041433811,0.49864315693812855,0.16134453781512606,0.2778581765557164,480,2975,6.197916666666667,406.4982604980469,1574.410329648677,3.873104715675017,0.8468713760375977,0.6825526495774586,0.74934321641922,80.0,130.0,50.0,60.0,160.0,320.0,200.0,0.00975142674845071,0.09874931264799118,0.055766664124054295,2.628310218819338,0.9944800643159546,0.4153778485552906,0.055766664124054295,0.08149543496985352,80.0,50.0,50.0,-30.0,30.0,160.0,30.0,30.0,110.0,60.0,60.0,310.0,250.0,250.0,240.0,80.0,80.0,245.0,190.0,75.66372975210778
E06,sample_001600,samples/sample_001600.npz,sample_001600_prediction.npz,0.0051002404652535915,0.009866212494671345,0.6456208567307054,0.293136874757658,0.4533733133433283,756,2579,3.4113756613756614,485.2165160179138,1454.6882171470188,2.998018758894252,0.6418207883834839,0.6931604187955301,0.7418307065963745,80.0,150.0,70.0,120.0,90.0,380.0,275.0,0.007265632220681043,0.08523867796183282,0.047309280841358596,2.0206213850702266,0.9946794008982166,0.37905760437276903,0.047309280841358596,0.07090461315707534,80.0,70.0,50.0,-30.0,30.0,160.0,10.0,10.0,110.0,40.0,40.0,200.0,80.0,80.0,160.0,70.0,70.0,370.0,270.0,11.180339887498949
E06,sample_000593,samples/sample_000593.npz,sample_000593_prediction.npz,0.00794760137796402,0.013637986965477467,0.6989548702950632,0.3440954043048284,0.5120103873620429,1183,3438,2.9061707523245985,860.1984516978264,2193.443194586415,2.5499269270446625,0.7271330952644348,0.8003896650175674,0.8820784687995911,70.0,140.0,70.0,130.0,130.0,225.0,205.0,0.01393480989854833,0.11804579576820316,0.06454477334320415,1.4906389132208313,0.9880277065617594,0.5224445133335415,0.06454477334320415,0.09883714955735386,70.0,70.0,50.0,-20.0,20.0,170.0,30.0,30.0,120.0,50.0,50.0,260.0,130.0,130.0,230.0,100.0,100.0,210.0,195.0,18.027756377319946
E06,sample_000367,samples/sample_000367.npz,sample_000367_prediction.npz,0.0006563795614056289,0.0029769178945571184,0.24648938440606913,0.05233033524121014,0.09945609945609946,64,1223,19.109375,18.23250961303711,306.36237234297596,16.803083000922282,0.28488296270370483,0.256610298063606,0.34446796774864197,40.0,60.0,20.0,40.0,80.0,310.0,490.0,0.0017511325420007287,0.041846535603329564,0.015687491843502238,12.001260689010238,0.8524406109500506,0.2903414861382587,0.015687491843502238,0.03879478240254454,40.0,20.0,0.0,-40.0,40.0,100.0,40.0,40.0,100.0,80.0,80.0,140.0,100.0,100.0,150.0,70.0,70.0,300.0,455.0,36.40054944640259
E06,sample_000985,samples/sample_000985.npz,sample_000985_prediction.npz,0.006135012488812208,0.011218835599720478,0.6769503831969131,0.3560105680317041,0.5250852411105699,1078,3028,2.8089053803339517,707.4556195735931,1784.2091705253063,2.522008619566423,0.6562668085098267,0.6950926692233679,0.8168297410011292,30.0,100.0,70.0,110.0,140.0,475.0,280.0,0.018023393079053998,0.13425123120125937,0.05849705703210441,1.3654125971238869,0.95435092610179,0.7152112182059915,0.05849705703210441,0.12083661447440805,30.0,70.0,0.0,-30.0,30.0,130.0,30.0,30.0,130.0,60.0,60.0,190.0,80.0,80.0,200.0,60.0,60.0,455.0,280.0,20.0
E06,sample_000252,samples/sample_000252.npz,sample_000252_prediction.npz,0.0007734974496997893,0.003435971913859248,0.36427791575150426,0.08633093525179857,0.15894039735099338,120,1390,11.583333333333334,49.82417106628418,362.3208528589737,7.271989580658669,0.41520142555236816,0.30989679930110775,0.4552638530731201,40.0,60.0,20.0,150.0,40.0,285.0,330.0,0.0018421964527869702,0.0429208160778307,0.017213054436660043,4.994322242492581,0.9536634484137114,0.25610071722642863,0.017213054436660043,0.03931802652407097,40.0,20.0,20.0,-20.0,20.0,110.0,50.0,50.0,90.0,70.0,70.0,220.0,70.0,70.0,110.0,70.0,70.0,290.0,315.0,15.811388300841896
E06,sample_000452,samples/sample_000452.npz,sample_000452_prediction.npz,0.003087145509198308,0.007882903330028057,0.6011508487431781,0.20733652312599682,0.34346103038309117,520,2508,4.823076923076923,301.9148325920105,1050.67904642232,3.4800511038228596,0.5806054472923279,0.5783859735498061,0.6499715447425842,50.0,90.0,40.0,130.0,100.0,245.0,400.0,0.007876938335964732,0.08875211736045925,0.03967196152468553,2.25296685426015,0.9523200209198466,0.49819822474809605,0.03967196152468553,0.07939190012053246,50.0,40.0,20.0,-30.0,30.0,130.0,40.0,40.0,110.0,70.0,70.0,200.0,70.0,70.0,180.0,80.0,80.0,260.0,380.0,25.0
