sample_id,E05_mse,E05_mae,E05_iou,E05_dice,E05_volume_ratio,E05_mass_ratio,E05_absolute_top_depth_error_m,E05_absolute_bottom_depth_error_m,E05_absolute_thickness_error_m,E05_gravity_rmse,E06_mse,E06_mae,E06_iou,E06_dice,E06_volume_ratio,E06_mass_ratio,E06_absolute_top_depth_error_m,E06_absolute_bottom_depth_error_m,E06_absolute_thickness_error_m,E06_gravity_rmse,E07_mse,E07_mae,E07_iou,E07_dice,E07_volume_ratio,E07_mass_ratio,E07_absolute_top_depth_error_m,E07_absolute_bottom_depth_error_m,E07_absolute_thickness_error_m,E07_gravity_rmse,E05_to_E06_mse_change,E05_to_E06_mae_change,E05_to_E06_iou_change,E05_to_E06_dice_change,E05_to_E06_volume_ratio_change,E05_to_E06_mass_ratio_change,E05_to_E06_absolute_top_depth_error_m_change,E05_to_E06_absolute_bottom_depth_error_m_change,E05_to_E06_absolute_thickness_error_m_change,E05_to_E06_gravity_rmse_change,E06_to_E07_mse_change,E06_to_E07_mae_change,E06_to_E07_iou_change,E06_to_E07_dice_change,E06_to_E07_volume_ratio_change,E06_to_E07_mass_ratio_change,E06_to_E07_absolute_top_depth_error_m_change,E06_to_E07_absolute_bottom_depth_error_m_change,E06_to_E07_absolute_thickness_error_m_change,E06_to_E07_gravity_rmse_change,E05_to_E07_mse_change,E05_to_E07_mae_change,E05_to_E07_iou_change,E05_to_E07_dice_change,E05_to_E07_volume_ratio_change,E05_to_E07_mass_ratio_change,E05_to_E07_absolute_top_depth_error_m_change,E05_to_E07_absolute_bottom_depth_error_m_change,E05_to_E07_absolute_thickness_error_m_change,E05_to_E07_gravity_rmse_change
sample_001292,0.008052720688283443,0.015866970643401146,0.12048192771084337,0.21505376344086022,8.3,11.572230058327834,20.0,140.0,160.0,0.13701481665306514,0.0025111299473792315,0.00644051656126976,0.21798365122615804,0.3579418344519016,4.5875,5.287519652425052,30.0,40.0,70.0,0.08672448675061324,0.001745237852446735,0.0050002457574009895,0.2530044275774826,0.4038364462392731,3.9525,4.317142685995918,10.0,50.0,60.0,0.06508358646190412,-0.005541590740904212,-0.009426454082131386,0.09750172351531466,0.14288807101104137,-3.7125000000000004,-6.284710405902782,10.0,-100.0,-90.0,-0.0502903299024519,-0.0007658920949324965,-0.0014402708038687706,0.035020776351324556,0.04589461178737153,-0.6350000000000002,-0.970376966429134,-20.0,10.0,-10.0,-0.021640900288709117,-0.0063074828358367085,-0.010866724886000156,0.13252249986663922,0.1887826827984129,-4.3475,-7.255087372331916,-10.0,-90.0,-100.0,-0.07193123019116102
sample_001298,0.007217293605208397,0.017434563487768173,0.044444444444444446,0.0851063829787234,22.5,16.402094686832076,30.0,170.0,200.0,0.1407592311883649,0.0013452867278829217,0.004980070516467094,0.10687022900763359,0.19310344827586207,9.357142857142858,4.986754579962901,30.0,60.0,90.0,0.055067251169377704,0.0016480166232213378,0.005119697656482458,0.12311557788944724,0.21923937360178972,8.122448979591837,5.247863180358264,30.0,70.0,100.0,0.0550745965977962,-0.005872006877325475,-0.012454492971301079,0.06242578456318914,0.10799706529713866,-13.142857142857142,-11.415340106869174,0.0,-110.0,-110.0,-0.08569198001898719,0.0003027298953384161,0.0001396271400153637,0.016245348881813657,0.02613592532592765,-1.2346938775510203,0.2611086003953629,0.0,10.0,10.0,7.345428418494004e-06,-0.005569276981987059,-0.012314865831285715,0.07867113344500279,0.13413299062306633,-14.377551020408163,-11.154231506473812,0.0,-100.0,-100.0,-0.08568463459056869
sample_001513,0.007771829608827829,0.01917710155248642,0.05924170616113744,0.11185682326621924,16.88,10.861896880576767,60.0,110.0,170.0,0.15437323651902307,0.004195855464786291,0.009602724574506283,0.11673151750972763,0.20905923344947736,8.566666666666666,6.012341522287437,30.0,30.0,60.0,0.0816667671599791,0.0035677694249898195,0.009262260980904102,0.1125703564727955,0.20236087689713322,8.883333333333333,5.709827327419433,40.0,30.0,70.0,0.08314411525077596,-0.0035759741440415382,-0.009574376977980137,0.057489811348590186,0.09720241018325812,-8.313333333333333,-4.84955535828933,-30.0,-80.0,-110.0,-0.07270646935904397,-0.0006280860397964716,-0.0003404635936021805,-0.0041611610369321345,-0.006698356552344131,0.31666666666666643,-0.3025141948680039,10.0,0.0,10.0,0.0014773480907968595,-0.00420406018383801,-0.009914840571582317,0.05332865031165805,0.09050405363091399,-7.996666666666666,-5.152069553157334,-20.0,-80.0,-100.0,-0.07122912126824711
sample_000392,0.008410974405705929,0.016785314306616783,0.050761421319796954,0.0966183574879227,19.7,9.505904252199274,50.0,140.0,190.0,0.1323107963602081,0.005568686872720718,0.009903154335916042,0.09193054136874361,0.16838166510757718,10.877777777777778,5.997862193442448,40.0,50.0,90.0,0.10816605168248239,0.003780332626774907,0.00790687371045351,0.10078387458006718,0.18311291963377416,9.922222222222222,4.778417902057712,30.0,50.0,80.0,0.08371320500500239,-0.0028422875329852104,-0.006882159970700741,0.041169120048946656,0.07176330761965448,-8.822222222222221,-3.5080420587568257,-10.0,-90.0,-100.0,-0.024144744677725705,-0.0017883542459458113,-0.001996280625462532,0.008853333211323575,0.014731254526196974,-0.9555555555555557,-1.219444291384736,-10.0,0.0,-10.0,-0.024452846677480003,-0.004630641778931022,-0.008878440596163273,0.05002245326027023,0.08649456214585145,-9.777777777777777,-4.727486350141562,-20.0,-90.0,-110.0,-0.04859759135520571
sample_001800,0.011846368201076984,0.02064288966357708,0.09923664122137404,0.18055555555555555,10.076923076923077,11.58878736486988,0.0,160.0,160.0,0.17615812397495564,0.0034552114084362984,0.0077031515538692474,0.19677093844601412,0.3288364249578415,5.082051282051282,4.952069894913361,20.0,30.0,50.0,0.10762925759783734,0.001937630120664835,0.005088447127491236,0.25573770491803277,0.4073107049608355,3.91025641025641,3.5994943586028816,10.0,50.0,60.0,0.07033082494004071,-0.008391156792640686,-0.012939738109707832,0.09753429722464008,0.14828086940228594,-4.994871794871795,-6.636717469956519,20.0,-130.0,-110.0,-0.0685288663771183,-0.0015175812877714634,-0.0026147044263780117,0.05896676647201865,0.078474280002994,-1.1717948717948716,-1.3525755363104794,-10.0,20.0,10.0,-0.03729843265779663,-0.00990873808041215,-0.015554442536085844,0.15650106369665873,0.22675514940527994,-6.166666666666666,-7.9892930062669985,10.0,-110.0,-100.0,-0.10582729903491493
sample_002073,0.004038022365421057,0.015030808746814728,0.07185516983949235,0.13407626675953335,13.916883116883117,16.54142719030441,60.0,110.0,170.0,0.127061663614913,0.0010919737396761775,0.004972465801984072,0.17281728172817282,0.29470452801227937,5.768831168831169,6.123109131127264,30.0,30.0,60.0,0.044924833705590146,0.0017978264950215816,0.0063852849416434765,0.17381489841986456,0.29615384615384616,5.753246753246753,7.602202592073263,40.0,30.0,70.0,0.05752344349654794,-0.0029460486257448792,-0.010058342944830656,0.10096211188868047,0.160628261252746,-8.148051948051947,-10.418318059177146,-30.0,-80.0,-110.0,-0.08213682990932286,0.0007058527553454041,0.0014128191396594048,0.0009976166916917384,0.001449318141566791,-0.015584415584416256,1.4790934609459994,10.0,0.0,10.0,0.012598609790957796,-0.002240195870399475,-0.008645523805171251,0.10195972858037221,0.1620775793943128,-8.163636363636364,-8.939224598231148,-20.0,-80.0,-100.0,-0.06953822011836505
sample_000911,0.008484303019940853,0.0173769760876894,0.1465771812080537,0.25567782720674315,6.822344322344322,11.598662600638336,30.0,140.0,170.0,0.14616332232437576,0.0014677904546260834,0.005089506506919861,0.267515923566879,0.4221105527638191,3.738095238095238,4.065227293100843,30.0,20.0,50.0,0.06910104958327581,0.0013871697010472417,0.004370296373963356,0.3606340819022457,0.5300970873786408,2.772893772893773,3.651871808616601,10.0,30.0,40.0,0.058352659293320036,-0.00701651256531477,-0.012287469580769539,0.12093874235882529,0.16643272555707594,-3.084249084249084,-7.533435307537493,0.0,-120.0,-120.0,-0.07706227274109995,-8.062075357884169e-05,-0.0007192101329565048,0.09311815833536674,0.10798653461482172,-0.9652014652014653,-0.4133554844842422,-20.0,10.0,-10.0,-0.010748390289955778,-0.007097133318893611,-0.013006679713726044,0.21405690069419203,0.27441926017189766,-4.049450549450549,-7.946790792021735,-20.0,-110.0,-130.0,-0.08781066303105572
sample_000923,0.003617138834670186,0.012451686896383762,0.04695400915001204,0.08969641214351426,21.297435897435896,16.21934450082126,60.0,130.0,190.0,0.10588680880309793,0.001923805451951921,0.00693058455362916,0.07647058823529412,0.14207650273224043,13.076923076923077,9.499361863510549,30.0,50.0,80.0,0.061010795375545546,0.0016609610756859183,0.005460895597934723,0.10998307952622674,0.19817073170731708,9.092307692307692,7.664882677078284,30.0,50.0,80.0,0.0483971190179792,-0.001693333382718265,-0.005521102342754602,0.02951657908528208,0.05238009058872617,-8.22051282051282,-6.7199826373107125,-30.0,-80.0,-110.0,-0.04487601342755239,-0.00026284437626600266,-0.001469688955694437,0.03351249129093262,0.056094228975076654,-3.9846153846153847,-1.8344791864322652,0.0,0.0,0.0,-0.012613676357566349,-0.0019561777589842677,-0.0069907912984490395,0.06302907037621469,0.10847431956380282,-12.205128205128204,-8.554461823742978,-30.0,-80.0,-110.0,-0.05748968978511874
sample_000595,0.013301972299814224,0.022800907492637634,0.14096149662823582,0.2470924690181125,7.094135802469136,6.515579894886158,40.0,120.0,160.0,0.18630220833946007,0.0038653919473290443,0.00839474331587553,0.25602528644804423,0.40767536961308587,3.9058641975308643,3.0076123517599482,30.0,30.0,60.0,0.10227557185277557,0.004995139315724373,0.009968509897589684,0.25362035225048923,0.4046206681236341,3.942901234567901,3.413700139123474,20.0,40.0,60.0,0.11445427027509257,-0.00943658035248518,-0.014406164176762104,0.11506378981980842,0.16058290059497338,-3.1882716049382718,-3.5079675431262096,-10.0,-90.0,-100.0,-0.0840266364866845,0.0011297473683953285,0.0015737665817141533,-0.0024049341975549976,-0.00305470148945175,0.03703703703703676,0.4060877873635258,-10.0,10.0,0.0,0.012178698422317003,-0.008306832984089851,-0.01283239759504795,0.11265885562225342,0.15752819910552163,-3.151234567901235,-3.101879755762684,-20.0,-80.0,-100.0,-0.0718479380643675
sample_001302,0.016432397067546844,0.0287436842918396,0.09950922321881875,0.18100661843927968,10.049319727891156,8.258892498390995,50.0,100.0,150.0,0.23508284735807056,0.006958342622965574,0.01196069736033678,0.2143638352169158,0.35304713299309515,4.664965986394558,4.006351392065993,20.0,30.0,50.0,0.11586174092121833,0.00697806291282177,0.012618438340723515,0.20516399162595952,0.3404748118123914,4.874149659863946,4.160447962347974,40.0,40.0,80.0,0.13029364150777054,-0.00947405444458127,-0.01678298693150282,0.11485461199809704,0.17204051455381547,-5.384353741496598,-4.252541106325003,-30.0,-70.0,-100.0,-0.11922110643685223,1.972028985619545e-05,0.000657740980386734,-0.00919984359095627,-0.012572321180703727,0.20918367346938815,0.15409657028198165,20.0,10.0,30.0,0.014431900586552207,-0.009454334154725075,-0.016125245951116085,0.10565476840714078,0.15946819337311174,-5.17517006802721,-4.098444536043021,-10.0,-60.0,-70.0,-0.10478920585030002
