experiment,sample_id,sample_path,prediction_path,mse,mae,correlation,iou,dice,true_occupied_cells,predicted_occupied_cells,volume_ratio,true_mass_proxy,predicted_mass_proxy,mass_ratio,true_body_mean_density,predicted_mean_density_in_true_body,peak_predicted_density,body_mse,background_mse,true_top_depth_m,true_bottom_depth_m,true_thickness_m,true_width_x_m,true_width_y_m,true_center_x_m,true_center_y_m,gravity_mse,gravity_rmse,gravity_mae,gravity_relative_l2,gravity_correlation,gravity_max_abs_residual,gravity_mean_residual,gravity_residual_std,manifest_top_depth_m,manifest_thickness_m,predicted_top_depth_m,top_depth_error_m,absolute_top_depth_error_m,predicted_bottom_depth_m,bottom_depth_error_m,absolute_bottom_depth_error_m,predicted_thickness_m,thickness_error_m,absolute_thickness_error_m,predicted_width_x_m,width_x_error_m,absolute_width_x_error_m,predicted_width_y_m,width_y_error_m,absolute_width_y_error_m,predicted_center_x_m,predicted_center_y_m,lateral_center_error_m
E10A,sample_000263,samples/sample_000263.npz,sample_000263_prediction.npz,0.0015871137147769332,0.004177459981292486,0.4901924794242764,0.1509584664536741,0.2623178348369188,189,1252,6.624338624338624,76.96506553888321,487.62607760727406,6.335680664897537,0.40722256898880005,0.5096173217056921,0.5800604820251465,0.011415660746300047,0.0015681807639798657,30.0,60.0,30.0,70.0,90.0,225.0,195.0,0.00361397415665238,0.06011633851668263,0.022378716363706537,3.902454112426919,0.9609373200709357,0.3903076505560028,0.022378716363706537,0.05579576337469677,30.0,30.0,20.0,-10.0,10.0,120.0,60.0,60.0,100.0,70.0,70.0,130.0,60.0,60.0,160.0,70.0,70.0,225.0,210.0,15.0
E10A,sample_000442,samples/sample_000442.npz,sample_000442_prediction.npz,0.0018131067045032978,0.004075359553098679,0.40109786580684026,0.10766045548654245,0.19439252336448598,104,966,9.288461538461538,94.6843991279602,421.0057354569435,4.4464108061559315,0.910426914691925,0.5532018419068593,0.6595732569694519,0.12889526145473948,0.0016785186877183098,30.0,50.0,20.0,130.0,40.0,385.0,210.0,0.0025539523660976647,0.050536643795345816,0.01812929064342544,2.535958239404393,0.9649770565717221,0.34487093874863406,0.01812929064342544,0.04717288614091649,30.0,20.0,20.0,-10.0,10.0,110.0,60.0,60.0,90.0,70.0,70.0,180.0,50.0,50.0,100.0,60.0,60.0,390.0,220.0,11.180339887498949
E10A,sample_001230,samples/sample_001230.npz,sample_001230_prediction.npz,0.004648678470402956,0.010095308534801006,0.5857819719887106,0.2687022900763359,0.42358604091456076,704,2620,3.721590909090909,288.421838760376,1279.7353383898735,4.437026488320434,0.40969011187553406,0.5756959965537217,0.7871888279914856,0.03553623488741611,0.004425882658640719,20.0,60.0,40.0,110.0,160.0,475.0,420.0,0.015043767264333034,0.12265303609912408,0.05292982403877985,2.3408692206107076,0.9503752846918678,0.5986053973710405,0.05292982403877985,0.1106444801675928,20.0,40.0,20.0,0.0,0.0,110.0,50.0,50.0,90.0,50.0,50.0,190.0,80.0,80.0,200.0,40.0,40.0,475.0,430.0,10.0
E10A,sample_001272,samples/sample_001272.npz,sample_001272_prediction.npz,0.0050534880720078945,0.010412424802780151,0.5193379622076955,0.19801980198019803,0.3305785123966942,480,2424,5.05,406.4982604980469,1198.8313967436552,2.9491673476654774,0.8468713760375977,0.6059860813741883,0.7189760804176331,0.06270827523249053,0.004770589279108667,80.0,130.0,50.0,60.0,160.0,320.0,200.0,0.005281515003179748,0.07267403252317672,0.03845275310193113,1.9342909555670709,0.9981373305618078,0.3430874522034404,0.03845275310193113,0.06166766399063348,80.0,50.0,30.0,-50.0,50.0,160.0,30.0,30.0,130.0,80.0,80.0,160.0,100.0,100.0,190.0,30.0,30.0,320.0,205.0,5.0
E10A,sample_001600,samples/sample_001600.npz,sample_001600_prediction.npz,0.004736228380352259,0.00921411719173193,0.6555637084642643,0.29439252336448596,0.4548736462093863,756,2568,3.3968253968253967,485.2165160179138,1387.937903612852,2.860450660260729,0.6418207883834839,0.6860224466632914,0.7443168759346008,0.0030319078301620206,0.0047494372016099054,80.0,150.0,70.0,120.0,90.0,380.0,275.0,0.007240005513784897,0.08508822194513702,0.04470817189435218,2.0170547571952127,0.9990863100502528,0.41810128344413944,0.04470817189435218,0.07239602806542604,80.0,70.0,40.0,-40.0,40.0,160.0,10.0,10.0,120.0,50.0,50.0,180.0,60.0,60.0,150.0,60.0,60.0,380.0,275.0,0.0
E10A,sample_000593,samples/sample_000593.npz,sample_000593_prediction.npz,0.005750893149524927,0.010731418617069721,0.7312081349473575,0.36433631044040654,0.5340857787810384,1183,3247,2.7447168216398987,860.1984516978264,1889.783974289894,2.1969162703791336,0.7271330952644348,0.7486000202615082,0.8081607222557068,0.0024192784724380912,0.005791474368167526,70.0,140.0,70.0,130.0,130.0,225.0,205.0,0.009972074597534743,0.09986027537281651,0.0508890968190365,1.2609988469895503,0.9988595780745838,0.46277065881888513,0.0508890968190365,0.08592074500653188,70.0,70.0,30.0,-40.0,40.0,160.0,20.0,20.0,130.0,60.0,60.0,200.0,70.0,70.0,170.0,40.0,40.0,230.0,205.0,5.0
E10A,sample_000367,samples/sample_000367.npz,sample_000367_prediction.npz,0.003218048484995961,0.01025006640702486,0.15179816695484252,0.018290940268648186,0.03592478248666854,64,3499,54.671875,18.23250961303711,1025.7817444056273,56.26113827315054,0.28488296270370483,0.34605999710038304,0.5345060229301453,0.005185103800997973,0.0032167668330089576,40.0,60.0,20.0,40.0,80.0,310.0,490.0,0.012728081138927799,0.11281879780837854,0.053722006148939676,32.35555306067817,0.7582412575340449,0.5184871933739905,0.053722006148939676,0.09920699166017025,40.0,20.0,20.0,-20.0,20.0,140.0,80.0,80.0,120.0,100.0,100.0,270.0,230.0,230.0,260.0,180.0,180.0,325.0,410.0,81.39410298049853
E10A,sample_000985,samples/sample_000985.npz,sample_000985_prediction.npz,0.005861011799424887,0.010533980093896389,0.7240224172703588,0.39400584795321636,0.5652857891976927,1078,2736,2.538033395176252,707.4556195735931,1739.6398613452911,2.4590091776977183,0.6562668085098267,0.7663731393101928,0.8430919051170349,0.015140618785634285,0.005758123854626218,30.0,100.0,70.0,110.0,140.0,475.0,280.0,0.015789423606975345,0.12565597322441677,0.054831991973186826,1.2779938568106854,0.9852453183539674,0.6322969568977583,0.054831991973186826,0.11306138272296037,30.0,70.0,20.0,-10.0,10.0,130.0,30.0,30.0,110.0,40.0,40.0,180.0,70.0,70.0,190.0,50.0,50.0,470.0,265.0,15.811388300841896
E10A,sample_000252,samples/sample_000252.npz,sample_000252_prediction.npz,0.0003923542390111834,0.0013564814580604434,0.442954860571421,0.19056603773584907,0.3201267828843106,120,511,4.258333333333334,49.82417106628418,148.70612470805645,2.9846181386585133,0.41520142555236816,0.2718334791560968,0.5026659369468689,0.03294661178321043,0.000352566570426523,40.0,60.0,20.0,150.0,40.0,285.0,330.0,0.00014907706040843296,0.012209711725034008,0.005212579941106668,1.4207380104838359,0.9904861691922972,0.08877379296220464,0.005212579941106668,0.011041108221822906,40.0,20.0,20.0,-20.0,20.0,140.0,80.0,80.0,120.0,100.0,100.0,180.0,30.0,30.0,50.0,10.0,10.0,290.0,325.0,7.0710678118654755
E10A,sample_000452,samples/sample_000452.npz,sample_000452_prediction.npz,0.002578014275059104,0.006232507526874542,0.6438785311899321,0.2513291445142581,0.40169949787562764,520,2069,3.978846153846154,301.9148325920105,902.8821475356817,2.990519345420111,0.5806054472923279,0.5908405385911465,0.7149123549461365,0.002054184545700378,0.0025807998847889994,50.0,90.0,40.0,130.0,100.0,245.0,400.0,0.005251955558241803,0.07247037710845586,0.031402868465423874,1.8396559135368409,0.9951772636369367,0.4276073293676387,0.031402868465423874,0.06531321007564311,50.0,40.0,20.0,-30.0,30.0,140.0,50.0,50.0,120.0,80.0,80.0,180.0,50.0,50.0,140.0,40.0,40.0,240.0,410.0,11.180339887498949
