experiment,sample_id,sample_path,prediction_path,mse,mae,correlation,iou,dice,true_occupied_cells,predicted_occupied_cells,volume_ratio,true_mass_proxy,predicted_mass_proxy,mass_ratio,true_body_mean_density,predicted_mean_density_in_true_body,peak_predicted_density,body_mse,background_mse,depth_profile_mse,z_center_error_m,absolute_z_center_error_m,true_top_depth_m,true_bottom_depth_m,true_thickness_m,true_width_x_m,true_width_y_m,true_center_x_m,true_center_y_m,gravity_mse,gravity_rmse,gravity_mae,gravity_relative_l2,gravity_correlation,gravity_max_abs_residual,gravity_mean_residual,gravity_residual_std,manifest_top_depth_m,manifest_thickness_m,predicted_top_depth_m,top_depth_error_m,absolute_top_depth_error_m,predicted_bottom_depth_m,bottom_depth_error_m,absolute_bottom_depth_error_m,predicted_thickness_m,thickness_error_m,absolute_thickness_error_m,predicted_width_x_m,width_x_error_m,absolute_width_x_error_m,predicted_width_y_m,width_y_error_m,absolute_width_y_error_m,predicted_center_x_m,predicted_center_y_m,lateral_center_error_m
E09B,sample_001111,samples/sample_001111.npz,sample_001111_prediction.npz,0.0015601824270561337,0.0035993836354464293,0.7771735979013336,0.3333333333333333,0.5,385,1155,3.0,306.5526646375656,637.3216947124637,2.078995775378313,0.7962406873703003,0.7812912806287988,0.875291109085083,0.003248688323813784,0.0015535436429947376,0.00232336566532741,2.3921116467127064,2.3921116467127064,40.0,90.0,50.0,70.0,110.0,375.0,255.0,0.002262824769765129,0.047569157757575746,0.01780014095052324,1.056388832712703,0.9994877938824335,0.36820025159592673,0.01780014095052324,0.04411326049961207,40.0,50.0,20.0,-20.0,20.0,130.0,40.0,40.0,110.0,60.0,60.0,110.0,40.0,40.0,140.0,30.0,30.0,375.0,250.0,5.0
E09B,sample_000562,samples/sample_000562.npz,sample_000562_prediction.npz,0.0007133068866096437,0.0026801482308655977,0.6463456035685308,0.16578108395324123,0.284412032816773,156,941,6.032051282051282,97.30296850204468,342.7077408613964,3.522068711132846,0.6237369775772095,0.5661606712219043,0.6349111795425415,0.005507396125585555,0.0007056869597694007,0.004987701926339559,2.228694321592613,2.228694321592613,50.0,80.0,30.0,40.0,130.0,490.0,495.0,0.0011191750680187012,0.03345407401227392,0.012663014374508345,2.3851305204039837,0.9967880815837261,0.24471101347552537,0.012663014374508345,0.030964869367877148,50.0,30.0,20.0,-30.0,30.0,110.0,30.0,30.0,90.0,60.0,60.0,100.0,60.0,60.0,180.0,50.0,50.0,500.0,490.0,11.180339887498949
E09B,sample_002168,samples/sample_002168.npz,sample_002168_prediction.npz,0.0004820510803256184,0.0018786577275022864,0.587477147484595,0.1689059500959693,0.2889983579638752,88,521,5.920454545454546,75.48128128051758,185.9804302766632,2.463927839082224,0.8577418327331543,0.4362621839073571,0.49130842089653015,0.17806225546454088,0.00032294208509022783,0.008375340508444793,3.5214855192314403,3.5214855192314403,30.0,50.0,20.0,110.0,40.0,415.0,420.0,0.0002777248481735239,0.016665078702890183,0.0062398100613400564,1.0107974200683612,0.979308220414973,0.10741915053124576,0.0062398100613400564,0.01545281911406211,30.0,20.0,20.0,-10.0,10.0,80.0,30.0,30.0,60.0,40.0,40.0,190.0,80.0,80.0,80.0,40.0,40.0,435.0,420.0,20.0
E09B,sample_001196,samples/sample_001196.npz,sample_001196_prediction.npz,0.0006825263262726367,0.002089179353788495,0.6211120718795478,0.1541095890410959,0.26706231454005935,90,584,6.488888888888889,88.26255083084106,229.2889541420076,2.597805660312828,0.9806950092315674,0.6232045266363356,0.6905838251113892,0.1298659130361113,0.0005641471180761476,0.005420942458084859,4.17957504312605,4.17957504312605,50.0,80.0,30.0,60.0,50.0,110.0,525.0,0.00039759825373369913,0.019939865940715326,0.007043170442594751,1.4697939376305675,0.9993872930387516,0.16854375373072789,0.007043170442594751,0.018654543785637287,50.0,30.0,20.0,-30.0,30.0,120.0,40.0,40.0,100.0,70.0,70.0,110.0,50.0,50.0,90.0,40.0,40.0,115.0,525.0,5.0
E09B,sample_001899,samples/sample_001899.npz,sample_001899_prediction.npz,0.0004994810442440212,0.0029822776559740305,0.6664849850462843,0.30275229357798167,0.4647887323943662,462,1526,3.303030303030303,150.69104826450348,400.8620775031542,2.660158530449221,0.3261711001396179,0.2909676472604017,0.45612967014312744,0.004582153255397896,0.00048020313835625387,0.005851968784318879,5.391839449797104,5.391839449797104,80.0,110.0,30.0,110.0,140.0,165.0,350.0,0.0005014603888686023,0.022393311252885365,0.012006079358653778,1.4977931304562027,0.9970257931937452,0.10019066673797009,0.012006079358653778,0.018902762954190324,80.0,30.0,60.0,-20.0,20.0,160.0,50.0,50.0,100.0,70.0,70.0,150.0,40.0,40.0,190.0,50.0,50.0,165.0,335.0,15.0
E09B,sample_000775,samples/sample_000775.npz,sample_000775_prediction.npz,0.0002494117070455104,0.0016740979626774788,0.9104242079218242,0.6801275239107333,0.8096141682479443,640,941,1.4703125,211.01202011108398,344.14744295577844,1.6309376251391148,0.3297062814235687,0.4018758976832032,0.593268632888794,0.01892151335205255,0.00012705194703992317,0.000492973552824095,-2.6593140301593223,2.6593140301593223,60.0,140.0,80.0,160.0,50.0,440.0,325.0,0.00018552400054876815,0.013620719531242399,0.006666867362005663,0.6532982007392074,0.9996684305507153,0.07632243527990706,0.006666867362005663,0.011877578883181193,60.0,80.0,50.0,-10.0,10.0,160.0,20.0,20.0,110.0,30.0,30.0,180.0,20.0,20.0,80.0,30.0,30.0,440.0,320.0,5.0
E09B,sample_001971,samples/sample_001971.npz,sample_001971_prediction.npz,0.0010179431410506368,0.0033331287559121847,0.6100645752205961,0.175054704595186,0.297951582867784,160,914,5.7125,147.76297569274902,348.7938266694074,2.360495415270141,0.9235185980796814,0.5278028402477503,0.5987361073493958,0.15788676063501333,0.000762206412572674,0.011849867840325037,3.5896533048424075,3.5896533048424075,50.0,70.0,20.0,160.0,50.0,240.0,195.0,0.0006983028288502547,0.026425420126277174,0.010778252278284694,1.2177696937312832,0.9978402476264259,0.17893450913458897,0.010778252278284694,0.024127414007222275,50.0,20.0,20.0,-30.0,30.0,110.0,40.0,40.0,90.0,70.0,70.0,200.0,40.0,40.0,80.0,30.0,30.0,250.0,190.0,11.180339887498949
E09B,sample_002064,samples/sample_002064.npz,sample_002064_prediction.npz,0.0018280032090842724,0.005738738924264908,0.7605533671428396,0.35004557885141296,0.5185685347738015,768,2194,2.8567708333333335,498.9137878417969,923.4485672365302,1.8509181139915725,0.6496273279190063,0.5600305041686321,0.708166778087616,0.011678381692255579,0.0017504412045166156,0.003958368820473505,4.214415653388144,4.214415653388144,80.0,120.0,40.0,160.0,120.0,170.0,440.0,0.0014361592893726855,0.0378966923275988,0.01974734550413255,0.8136318914853357,0.999904283613185,0.18647346737908282,0.01974734550413255,0.032345040344898345,80.0,40.0,50.0,-30.0,30.0,160.0,40.0,40.0,110.0,70.0,70.0,180.0,20.0,20.0,160.0,40.0,40.0,170.0,430.0,10.0
E09B,sample_001548,samples/sample_001548.npz,sample_001548_prediction.npz,0.0015834049554541707,0.004163101315498352,0.7485500033413115,0.27348066298342544,0.42950108459869846,396,1448,3.6565656565656566,281.8826107978821,675.8405791079039,2.3975958545115823,0.7118247747421265,0.709587793308075,0.7858949303627014,0.0017489921690811265,0.0015827352622684592,0.003497984962068353,1.6387808061502795,1.6387808061502795,50.0,90.0,40.0,90.0,110.0,455.0,335.0,0.002769675773386618,0.05262770917859353,0.020833136511133155,1.390119135609768,0.9987876956871071,0.36373405896993005,0.020833136511133155,0.04832862709093967,50.0,40.0,20.0,-30.0,30.0,130.0,40.0,40.0,110.0,70.0,70.0,130.0,40.0,40.0,150.0,40.0,40.0,455.0,325.0,10.0
E09B,sample_000381,samples/sample_000381.npz,sample_000381_prediction.npz,0.0002586089540272951,0.0018183995271101594,0.8766843294637464,0.5813953488372093,0.7352941176470589,600,1032,1.72,171.90202474594116,345.276729495575,2.008566972994467,0.2865033745765686,0.3548610235005617,0.4561541974544525,0.007729903930645663,0.0002127277465726776,0.0019208465572059892,-0.35602804534349275,0.35602804534349275,30.0,70.0,40.0,100.0,150.0,440.0,425.0,0.0007096001630696694,0.026638321326045857,0.009704142450233802,0.949712873594426,0.9988846932920509,0.1744745468823577,0.009704142450233802,0.024807857270938167,30.0,40.0,20.0,-10.0,10.0,80.0,10.0,10.0,60.0,20.0,20.0,110.0,10.0,10.0,170.0,20.0,20.0,445.0,425.0,5.0
