experiment,sample_id,sample_path,prediction_path,mse,mae,correlation,iou,dice,true_occupied_cells,predicted_occupied_cells,volume_ratio,true_mass_proxy,predicted_mass_proxy,mass_ratio,true_body_mean_density,predicted_mean_density_in_true_body,peak_predicted_density,body_mse,background_mse,depth_profile_mse,z_center_error_m,absolute_z_center_error_m,true_top_depth_m,true_bottom_depth_m,true_thickness_m,true_width_x_m,true_width_y_m,true_center_x_m,true_center_y_m,gravity_mse,gravity_rmse,gravity_mae,gravity_relative_l2,gravity_correlation,gravity_max_abs_residual,gravity_mean_residual,gravity_residual_std,manifest_top_depth_m,manifest_thickness_m,predicted_top_depth_m,top_depth_error_m,absolute_top_depth_error_m,predicted_bottom_depth_m,bottom_depth_error_m,absolute_bottom_depth_error_m,predicted_thickness_m,thickness_error_m,absolute_thickness_error_m,predicted_width_x_m,width_x_error_m,absolute_width_x_error_m,predicted_width_y_m,width_y_error_m,absolute_width_y_error_m,predicted_center_x_m,predicted_center_y_m,lateral_center_error_m,true_body_volume_cells,true_body_volume_m3,true_mean_body_density,predicted_mean_body_density,density_error,absolute_density_error,relative_density_error,body_size_group,center_depth_error_m
E09B-7,sample_000653,samples/sample_000653.npz,sample_000653_prediction.npz,0.00040550043922849,0.002649744739755988,0.4955475026288335,0.24167312161115415,0.38927011852776044,312,1291,4.137820512820513,65.11785006523132,311.2796933697824,4.780251391253862,0.20871105790138245,0.20516175509263307,0.5111732482910156,0.002720210310311836,0.0003981305524954048,0.0016363263884184985,3.3158129526647144,3.3158129526647144,20.0,40.0,20.0,120.0,130.0,300.0,235.0,0.0009968797184144711,0.03157340207222641,0.014446638790569805,2.244004379401156,0.6468010221786654,0.17137746852000563,0.014446638790569805,0.028074442934264518,20.0,20.0,20.0,0.0,0.0,50.0,10.0,10.0,30.0,10.0,10.0,310.0,190.0,190.0,350.0,220.0,220.0,395.0,325.0,130.86252328302402,312,312000.0,0.20871105790138245,0.20516175509263307,-0.003549302808749377,0.003549302808749377,0.017005820604035507,medium,3.3158129526647144
E09B-7,sample_001330,samples/sample_001330.npz,sample_001330_prediction.npz,0.001142052817158401,0.0046123624779284,0.9522096660887654,0.6878582595101616,0.8150663785118863,1320,1919,1.4537878787878789,743.6322569847107,1177.780489800384,1.5838211410786065,0.5633577704429626,0.7364896116891142,0.8999149799346924,0.04177577365965908,0.0005890077387477061,0.00026007360599384445,0.3808754696608645,0.3808754696608645,50.0,130.0,80.0,150.0,110.0,365.0,405.0,0.0019330917975878088,0.04396693982514372,0.02194401576168234,0.5569209218217407,0.9985060330732121,0.22038418344969957,0.02194401576168234,0.03809923844171752,50.0,80.0,30.0,-20.0,20.0,150.0,20.0,20.0,120.0,40.0,40.0,180.0,30.0,30.0,260.0,150.0,150.0,360.0,470.0,65.19202405202648,1320,1320000.0,0.5633577704429626,0.7364896116891142,0.17313184124615155,0.17313184124615155,0.30732129799154045,large,0.3808754696608645
E09B-7,sample_000517,samples/sample_000517.npz,sample_000517_prediction.npz,0.000999966636300087,0.0026826963294297457,0.5890013519377657,0.17900552486187846,0.3036551077788191,162,905,5.58641975308642,96.17286157608032,349.0295334003293,3.629189437440409,0.5936596393585205,0.5685906465406771,0.93418949842453,0.0026514230119001475,0.0009972406617048768,0.0020734168931582095,1.8165620864001255,1.8165620864001255,50.0,70.0,20.0,90.0,90.0,235.0,195.0,0.0009421718606032759,0.030694818139276797,0.013797608326232088,2.0721569571943634,0.8320653150089257,0.1695349410820933,0.013797608326232088,0.02741893260284154,50.0,20.0,40.0,-10.0,10.0,90.0,20.0,20.0,50.0,30.0,30.0,170.0,80.0,80.0,260.0,170.0,170.0,255.0,270.0,77.62087348130012,162,162000.0,0.5936596393585205,0.5685906465406771,-0.02506899281784336,0.02506899281784336,0.04222788809583162,small,1.8165620864001255
E09B-7,sample_001265,samples/sample_001265.npz,sample_001265_prediction.npz,0.0013672643108293414,0.004144832957535982,0.8937990734815476,0.5419354838709678,0.702928870292887,1008,1860,1.8452380952380953,680.8959245681763,1053.614231698822,1.547393946243728,0.675491988658905,0.7251099236309528,0.8878247737884521,0.009347497038908333,0.0012845880012114339,0.0009088187784200511,2.350793570994284,2.350793570994284,60.0,120.0,60.0,120.0,140.0,180.0,480.0,0.0013416559853746703,0.03662862248808533,0.017850855102531777,0.514693653090943,0.9996828358901031,0.18975715427261353,0.017850855102531777,0.03198441741665909,60.0,60.0,40.0,-20.0,20.0,150.0,30.0,30.0,110.0,50.0,50.0,140.0,20.0,20.0,200.0,60.0,60.0,180.0,500.0,20.0,1008,1008000.0,0.675491988658905,0.7251099236309528,0.049617934972047806,0.049617934972047806,0.07345451286632915,large,2.350793570994284
E09B-7,sample_001292,samples/sample_001292.npz,sample_001292_prediction.npz,0.0005586750339716673,0.0025900222826749086,0.838520571629379,0.38424591738712777,0.5551700208188758,400,1041,2.6025,147.53621816635132,395.99352789622856,2.684042825672368,0.3688405454158783,0.5209192035347223,0.7228019833564758,0.03981927395365954,0.0003982705188771109,0.0014685382104931454,-1.2148865184629827,1.2148865184629827,30.0,80.0,50.0,100.0,80.0,360.0,420.0,0.0010766033971059317,0.032811635087357835,0.013679330929279268,1.3119961354215803,0.9565650938723822,0.19485819734677334,0.013679330929279268,0.029824139592504514,30.0,50.0,20.0,-10.0,10.0,90.0,10.0,10.0,70.0,20.0,20.0,210.0,110.0,110.0,270.0,190.0,190.0,395.0,505.0,91.92388155425118,400,400000.0,0.3688405454158783,0.5209192035347223,0.15207865811884402,0.15207865811884402,0.4123154572048769,medium,-1.2148865184629827
E09B-7,sample_001298,samples/sample_001298.npz,sample_001298_prediction.npz,0.001140271662734449,0.003122842637822032,0.6411065845957629,0.1932938856015779,0.3239669421487603,196,1014,5.173469387755102,110.08473920822144,414.4986393395366,3.765268849440856,0.5616568326950073,0.6302820327026504,0.8468495607376099,0.00835211017956995,0.0011258638496277043,0.004055626881968405,3.2173949153818597,3.2173949153818597,50.0,70.0,20.0,70.0,140.0,235.0,210.0,0.0012123717794813571,0.034819129504933884,0.016508075407435128,2.1346828687380786,0.9035489109434836,0.17021080380177578,0.016508075407435128,0.0306570583361123,50.0,20.0,30.0,-20.0,20.0,100.0,30.0,30.0,70.0,50.0,50.0,150.0,80.0,80.0,310.0,170.0,170.0,255.0,285.0,77.62087348130012,196,196000.0,0.5616568326950073,0.6302820327026504,0.06862520000764305,0.06862520000764305,0.12218350425536108,medium,3.2173949153818597
E09B-7,sample_001513,samples/sample_001513.npz,sample_001513_prediction.npz,0.000948723463807255,0.002865403890609741,0.7509095045933546,0.27347310847766637,0.4294917680744452,300,1097,3.6566666666666667,185.75980067253113,460.283981494004,2.477844936458675,0.6191993355751038,0.6349106819430987,0.7175841331481934,0.0024373170854203935,0.0009441667931013981,0.001404408211567185,2.5541044521403222,2.5541044521403222,80.0,130.0,50.0,50.0,120.0,355.0,490.0,0.0006043725382503857,0.024583989469782682,0.01279544134236347,1.3946548366621574,0.9989676543447245,0.12658668256777453,0.01279544134236347,0.020991646412430863,80.0,50.0,60.0,-20.0,20.0,160.0,30.0,30.0,100.0,50.0,50.0,90.0,40.0,40.0,200.0,80.0,80.0,355.0,510.0,20.0,300,300000.0,0.6191993355751038,0.6349106819430987,0.015711346367994983,0.015711346367994983,0.025373648622220343,medium,2.5541044521403222
E09B-7,sample_000392,samples/sample_000392.npz,sample_000392_prediction.npz,0.001075644395314157,0.0028966746758669615,0.7023210214750509,0.24759284731774414,0.39691289966923926,180,727,4.038888888888889,178.24459075927734,358.9552875284941,2.0138355166876845,0.9902477264404297,0.7012366291549471,0.7850708961486816,0.08501543951233446,0.0009216640786734187,0.0026745582931299986,3.374736767459069,3.374736767459069,50.0,90.0,40.0,50.0,90.0,175.0,355.0,0.0005194820253453704,0.022792148326679747,0.009405876417136458,0.9063491099643146,0.9978098149192918,0.17324660515134643,0.009405876417136458,0.02076081679922364,50.0,40.0,30.0,-20.0,20.0,130.0,40.0,40.0,100.0,60.0,60.0,90.0,40.0,40.0,240.0,150.0,150.0,175.0,410.0,55.0,180,180000.0,0.9902477264404297,0.7012366291549471,-0.2890110972854826,0.2890110972854826,0.29185737020005026,small,3.374736767459069
E09B-7,sample_001800,samples/sample_001800.npz,sample_001800_prediction.npz,0.0004253233491908759,0.0021886671893298626,0.8597935863488433,0.46875,0.6382978723404256,390,832,2.1333333333333333,191.56806975603104,386.6094318101972,2.018130851882354,0.49120017886161804,0.5446817912734472,0.7394815683364868,0.014872766043233142,0.0003677779143954915,0.0007215380913012339,0.8623024195521793,0.8623024195521793,20.0,70.0,50.0,60.0,130.0,210.0,405.0,0.0006300030275404927,0.025099861106000022,0.010937082518424467,0.6724518884141395,0.9806438736835562,0.14358667842925787,0.010937082518424467,0.022591663363410553,20.0,50.0,20.0,0.0,0.0,90.0,20.0,20.0,70.0,20.0,20.0,210.0,150.0,150.0,320.0,190.0,190.0,265.0,480.0,93.00537618869137,390,390000.0,0.49120017886161804,0.5446817912734472,0.05348161241182914,0.05348161241182914,0.10887946444925073,medium,0.8623024195521793
E09B-7,sample_002073,samples/sample_002073.npz,sample_002073_prediction.npz,0.00020500586833804846,0.0013866564258933067,0.8127782228667664,0.468557336621455,0.6381192275398825,385,806,2.0935064935064935,95.07418975234032,222.73600268986092,2.3427599358991973,0.24694594740867615,0.30827188802423416,0.4479072690010071,0.0099090679919145,0.00016685123702694647,0.0009636744032334674,2.8857032747778106,2.8857032747778106,80.0,130.0,50.0,70.0,110.0,395.0,165.0,0.00013111100139241003,0.01145037123382513,0.006002349300867133,1.2698719537728687,0.9992710859969951,0.058927587919106544,0.006002349300867133,0.009751041188652106,80.0,50.0,70.0,-10.0,10.0,160.0,30.0,30.0,90.0,40.0,40.0,110.0,40.0,40.0,170.0,60.0,60.0,405.0,175.0,14.142135623730951,385,385000.0,0.24694594740867615,0.30827188802423416,0.06132594061555802,0.06132594061555802,0.24833750567312773,medium,2.8857032747778106
E09B-7,sample_000911,samples/sample_000911.npz,sample_000911_prediction.npz,0.0005870077875442803,0.0024188023526221514,0.85441122839813,0.5517241379310345,0.7111111111111111,546,984,1.8021978021978022,161.15512830018997,386.0292826738072,2.395389378827184,0.29515591263771057,0.4612247681197448,0.7077996730804443,0.05208271413129188,0.00029939292493879504,0.0015887328490532965,-1.7129744109055665,1.7129744109055665,30.0,90.0,60.0,70.0,130.0,465.0,325.0,0.000812271108310684,0.028500370318834175,0.012261903141068843,1.139844502835897,0.9559607076430972,0.1619071022632893,0.012261903141068843,0.02572774455077106,30.0,60.0,20.0,-10.0,10.0,100.0,10.0,10.0,80.0,20.0,20.0,180.0,110.0,110.0,290.0,160.0,160.0,500.0,395.0,78.26237921249263,546,546000.0,0.29515591263771057,0.4612247681197448,0.1660688554820342,0.1660688554820342,0.5626479036043421,medium,-1.7129744109055665
E09B-7,sample_000923,samples/sample_000923.npz,sample_000923_prediction.npz,0.00022575222828891128,0.0012722498504444957,0.7554136812476777,0.31001589825119236,0.4733009708737864,195,629,3.2256410256410257,79.86865639686584,192.5835776197082,2.4112535042878904,0.40958285331726074,0.38851547623291993,0.48912864923477173,0.002975588856497037,0.0002202866918759004,0.0028627870483398862,1.6373847803721304,1.6373847803721304,80.0,110.0,30.0,50.0,130.0,295.0,465.0,0.00011824280435400312,0.010873950724276946,0.0054936415346172884,1.3248306166909314,0.9982496790763074,0.05777945568652999,0.0054936415346172884,0.009384173221074455,80.0,30.0,60.0,-20.0,20.0,140.0,30.0,30.0,80.0,50.0,50.0,80.0,30.0,30.0,240.0,110.0,110.0,300.0,500.0,35.35533905932738,195,195000.0,0.40958285331726074,0.38851547623291993,-0.02106737708434081,0.02106737708434081,0.05143617930710134,medium,1.6373847803721304
E09B-7,sample_000595,samples/sample_000595.npz,sample_000595_prediction.npz,0.0008789033745415509,0.003438762156292796,0.8835336071098758,0.44505494505494503,0.6159695817490495,648,1456,2.246913580246914,405.7768020629883,714.6124701260244,1.7610973976158841,0.6261987686157227,0.6825332454417223,0.8532119393348694,0.013545687636042782,0.0007948524303611094,0.0007307372300451176,-0.5896743537942655,0.5896743537942655,40.0,100.0,60.0,120.0,90.0,190.0,245.0,0.0013714580525906572,0.03703320202994412,0.01650423964185174,0.6750218155397076,0.9914829671090186,0.2218056558566427,0.01650423964185174,0.03315219640438605,40.0,60.0,20.0,-20.0,20.0,130.0,30.0,30.0,110.0,50.0,50.0,150.0,30.0,30.0,260.0,170.0,170.0,185.0,320.0,75.16648189186454,648,648000.0,0.6261987686157227,0.6825332454417223,0.05633447682599968,0.05633447682599968,0.08996261195232448,large,-0.5896743537942655
E09B-7,sample_001302,samples/sample_001302.npz,sample_001302_prediction.npz,0.0013614996569231153,0.0039639160968363285,0.8485060836418277,0.4146685472496474,0.5862412761714856,588,1418,2.4115646258503403,388.9803864955902,775.6059444718206,1.9939461510114302,0.6615312695503235,0.753104668085267,0.8385246992111206,0.011339592216062266,0.0013014572212291851,0.0009787901027965785,1.8786085075244188,1.8786085075244188,60.0,120.0,60.0,70.0,140.0,525.0,280.0,0.0014020926738281213,0.03744452795573902,0.01865859375826555,0.8935095232886646,0.994987861109435,0.19451617001744548,0.01865859375826555,0.03246458921335883,60.0,60.0,40.0,-20.0,20.0,150.0,30.0,30.0,110.0,50.0,50.0,190.0,120.0,120.0,300.0,160.0,160.0,545.0,350.0,72.80109889280519,588,588000.0,0.6615312695503235,0.753104668085267,0.0915733985349435,0.0915733985349435,0.13842640968006034,medium,1.8786085075244188
E09B-7,sample_001319,samples/sample_001319.npz,sample_001319_prediction.npz,0.0005754018784500659,0.002680467441678047,0.6737726815964977,0.15772870662460567,0.2724795640326976,150,951,6.34,78.23321521282196,335.0767890231568,4.283050212261245,0.5215547680854797,0.5586870429913203,0.7250142693519592,0.009452289339885163,0.0005618361396721202,0.002217074685980672,-0.9630549695248121,0.9630549695248121,20.0,50.0,30.0,50.0,100.0,295.0,360.0,0.0011229528735455959,0.033510489007855374,0.014983267887874489,1.744180312071455,0.7848284823241145,0.17722658165274852,0.014983267887874489,0.02997423154887853,20.0,30.0,20.0,0.0,0.0,70.0,20.0,20.0,50.0,20.0,20.0,280.0,230.0,230.0,340.0,240.0,240.0,400.0,440.0,132.00378782444085,150,150000.0,0.5215547680854797,0.5586870429913203,0.03713227490584059,0.03713227490584059,0.07119535124210546,small,-0.9630549695248121
